Rank,Year,Artist,Song1,Chart_Year
87,1971,Climax,Precious And Few,1979
88,1963,The Ronettes,Be My Baby,1979
89,1956,Elvis Presley,Heartbreak Hotel,1979
90,1958,Jerry Butler And The Impressions,For Your Precious Love,1979
91,1967,Jefferson Airplane,Somebody To Love,1979
92,1978,Bee Gees,Too Much Heaven,1979
93,1960,Elvis Presley With The Jordanaires,It's Now Or Never,1979
94,1977,Dan Hill,Sometimes When We Touch,1979
95,1955,The Teenagers Featuring Frankie Lymon,Why Do Fools Fall In Love,1979
96,1976,Barry Manilow,Weekend In New England,1979
97,1957,The Dell-Vikings,Whispering Bells,1979
98,1962,The Drifters,Up On The Roof,1979
99,1972,Harry Chapin,Taxi,1979
100,1957,Elvis Presley With The Jordanaires,Loving You,1979
51,1961,Dion,Runaway Girl,1979
52,1976,Engelbert Humperdinck,Let's Remember The Good Times,1979
53,1962,The Excellents,You Baby You,1979
54,1965,The Rolling Stones,The Under Assistant West Coast Promotion Man,1979
55,1972,Roberta Flack,Trade Winds,1979
56,1969,Elvis Presley,You'll Think Of Me,1979
57,1959,The Skyliners,Tomorrow,1979
58,1978,Anne Murray,I Still Wish The Very Best For You,1979
59,1957,Paul Anka,Don't Gamble With Love,1979
60,1955,The Platters,"Bark, Battle And Ball",1979
61,1978,Donna Summer,With Your Love,1979
62,1976,Barbra Streisand,I Believe In Love,1979
63,1961,Chubby Checker,Twistin' U.S.A.,1979
64,1958,Tommy Edwards,Please Love Me Forever,1979
65,1967,The Doors,The Crystal Ship,1979
66,1958,The Crests,Beside You,1979
67,1969,Elvis Presley,Charro,1979
68,1964,The Supremes,Ask Any Girl,1979
69,1964,The Drifters,I Don't Want To Go On Without You,1979
70,1979,Blondie,11,1979
71,1962,The Duprees,Ginny,1979
72,1978,Barry Manilow,Copacabana (At The Copa) [Short Version],1979
73,1963,The Beach Boys,Little Deuce Coupe,1979
74,1970,Diana Ross,Can't It Wait Until Tomorrow,1979
75,1961,Dion,The Majestic,1979
76,1970,Simon And Garfunkel,Keep The Customer Satisfied,1979
77,1972,Led Zeppelin,Stairway To Heaven [Stereo],1979
78,1954,Bill Haley And His Comets,(We're Gonna) Rock Around The Clock,1979
79,1965,The 4 Seasons,On Broadway Tonight,1979
80,1957,Danny And The Juniors,Sometimes (When I'm All Alone),1979
81,1973,Jim Croce,A Good Time Man Like Me Ain't Got No Business (Singin' The Blues),1979
82,1960,"The Chimes [60s, Brooklyn]",Summer Night,1979
83,1958,The Elegants,Getting Dizzy,1979
84,1963,Jan And Dean,She's My Summer Girl,1979
85,1963,The Tymes,Roscoe James McClain,1979
86,1961,The Cleftones,How Do You Feel,1979
87,1971,Climax,Park Preserve,1979
88,1963,The Ronettes,Tedesco And Pitman,1979
89,1956,Elvis Presley,I Was The One,1979
90,1958,Jerry Butler And The Impressions,Sweet Was The Wine,1979
91,1967,Jefferson Airplane,She Has Funny Cars,1979
92,1978,Bee Gees,Rest Your Love On Me,1979
93,1960,Elvis Presley With The Jordanaires,A Mess Of Blues,1979
94,1977,Dan Hill,Still Not Used To,1979
95,1955,The Teenagers Featuring Frankie Lymon,Please Be Mine,1979
96,1976,Barry Manilow,Say The Words,1979
97,1957,The Dell-Vikings,Don't Be A Fool,1979
98,1962,The Drifters,Another Night With The Boys,1979
99,1972,Harry Chapin,Empty,1979
100,1957,Elvis Presley With The Jordanaires,(Let Me Be Your) Teddy Bear,1979
101,1970,Smokey Robinson And The Miracles,The Tears Of A Clown,1979
102,1970,Neil Diamond,Solitary Man,1979
103,1957,Buddy Holly,Peggy Sue,1979
104,1964,The Righteous Brothers,You've Lost That Lovin' Feelin',1979
105,1963,The Beatles,I Want To Hold Your Hand,1979
106,1959,The Everly Brothers,Let It Be Me,1979
107,1962,Shelley Fabares,Johnny Angel,1979
108,1964,Jan And Dean,The Little Old Lady (From Pasadena),1979
109,1958,Conway Twitty,It's Only Make Believe,1979
110,1960,Johnny Burnette,Dreamin',1979
111,1967,Frankie Valli,Can't Take My Eyes Off You,1979
112,1971,Bread,If,1979
113,1956,Elvis Presley,Hound Dog,1979
114,1958,The Platters,Smoke Gets In Your Eyes,1979
115,1975,Frankie Valli,Swearin' To God,1979
116,1969,Neil Diamond,Holly Holy,1979
117,1958,The Danleers,One Summer Night,1979
118,1960,Bobby Rydell,Swingin' School,1979
119,1973,Barbra Streisand,The Way We Were,1979
120,1978,Barry Manilow,Can't Smile Without You,1979
121,1959,Dion And The Belmonts,Where Or When,1979
122,1957,Frankie Lymon,Goody Goody,1979
123,1969,The Beatles With Billy Preston,Get Back,1979
124,1961,Gene Chandler,Duke Of Earl,1979
125,1958,Chuck Berry,Johnny B. Goode,1979
126,1969,Elvis Presley,In The Ghetto,1979
127,1970,Elton John,Your Song,1979
128,1973,The Intruders,I'll Always Love My Mama (Part I),1979
129,1966,The Beatles,Michelle,1979
130,1968,The Vogues,My Special Angel,1979
131,1975,"Hamilton, Joe Frank And Reynolds",Fallin' In Love,1979
132,1966,The Beach Boys,Good Vibrations,1979
133,1978,Bee Gees,Night Fever,1979
134,1976,Elvis Presley,Moody Blue,1979
135,1975,Paul Anka,Times Of Your Life,1979
136,1963,The Duprees,Have You Heard,1979
137,1962,Lou Christie,The Gypsy Cried,1979
138,1956,The Cleftones,Little Girl Of Mine,1979
139,1974,The Stylistics,You Make Me Feel Brand New,1979
140,1966,The Supremes,You Can't Hurry Love,1979
141,1959,Percy Faith And His Orchestra,"The Theme From ""A Summer Place""",1979
142,1963,The Classics [Brooklyn],Till Then,1979
143,1970,Ray Price,For The Good Times,1979
144,1965,Lou Christie,Lightnin' Strikes,1979
145,1974,Barry Manilow,Mandy,1979
146,1972,The Moody Blues,Nights In White Satin,1979
147,1960,The Everly Brothers,Cathy's Clown,1979
148,1978,Barbra And Neil,You Don't Bring Me FlowersAlan Lindgren,1979
149,1962,Joanie Sommers,Johnny Get Angry,1979
150,1968,The Bee Gees,Words,1979
101,1970,Smokey Robinson And The Miracles,Promise Me,1979
102,1970,Neil Diamond,The Time Is Now,1979
103,1957,Buddy Holly,Everyday,1979
104,1964,The Righteous Brothers,There's A Woman,1979
105,1963,The Beatles,I Saw Her Standing There,1979
106,1959,The Everly Brothers,Since You Broke My Heart,1979
107,1962,Shelley Fabares,Where's It Gonna Get Me?,1979
108,1964,Jan And Dean,My Mighty G. T. O.,1979
109,1958,Conway Twitty,I'll Try,1979
110,1960,Johnny Burnette,Cincinnati Fireball,1979
111,1967,Frankie Valli,The Trouble With Me,1979
112,1971,Bread,Take Comfort,1979
113,1956,Elvis Presley,Don't Be Cruel,1979
114,1958,The Platters,No Matter What You Are,1979
115,1975,Frankie Valli,Why,1979
116,1969,Neil Diamond,Hurtin' You Don't Come Easy,1979
117,1958,The Danleers,Wheelin' And A-Dealin',1979
118,1960,Bobby Rydell,Ding-A-Ling,1979
119,1973,Barbra Streisand,What Are You Doing The Rest Of Your Life?,1979
120,1978,Barry Manilow,Sunrise,1979
121,1959,Dion And The Belmonts,That's My Desire,1979
122,1957,Frankie Lymon,Creation Of Love,1979
123,1969,The Beatles With Billy Preston,Don't Let Me Down,1979
124,1961,Gene Chandler,Kissin' In The Kitchen,1979
125,1958,Chuck Berry,Around And Around,1979
126,1969,Elvis Presley,Any Day Now,1979
127,1970,Elton John,Take Me To The Pilot,1979
128,1973,The Intruders,I'll Always Love My Mama (Part II),1979
129,1966,The Beatles,Girl,1979
130,1968,The Vogues,I Keep It Hid,1979
131,1975,"Hamilton, Joe Frank And Reynolds",So Good At Lovin' You,1979
132,1966,The Beach Boys,Let's Go Away For Awhile,1979
133,1978,Bee Gees,Down The Road,1979
134,1976,Elvis Presley,She Thinks I Still Care,1979
135,1975,Paul Anka,Water Runs Deep,1979
136,1963,The Duprees,Love Eyes,1979
137,1962,Lou Christie,Red Sails In The Sunset,1979
138,1956,The Cleftones,You're Driving Me Mad,1979
139,1974,The Stylistics,Only For The Children,1979
140,1966,The Supremes,Put Yourself In My Place,1979
141,1959,Percy Faith And His Orchestra,Go-Go-Po-Go,1979
142,1963,The Classics [Brooklyn],Enie Minie Mo,1979
143,1970,Ray Price,Grazin' In Greener Pastures,1979
144,1965,Lou Christie,Cryin' In The Streets,1979
145,1974,Barry Manilow,Something's Comin' Up,1979
146,1972,The Moody Blues,Cities,1979
147,1960,The Everly Brothers,Always It's You,1979
148,1978,Barbra And Neil,You Don't Bring Me Flowers (Instrumental),1979
149,1962,Joanie Sommers,Theme From A Summer Place,1979
150,1968,The Bee Gees,Sinking Ships,1979
151,1966,The Beach Boys,Wouldn't It Be Nice,1979
152,1966,The 4 Seasons,Opus 17 (Don't You Worry 'Bout Me),1979
153,1963,Dion (Di Muci),Donna The Prima Donna,1979
154,1960,Jimmy Charles And The Revelletts,A Million To One,1979
155,1973,Elton John,Daniel,1979
156,1964,The Beatles,All My Loving,1979
157,1971,Don McLean,American Pie - Part I,1979
158,1972,Elvis Presley,Burning Love,1979
159,1955,The Turbans,When You Dance,1979
160,1954,The Chords [New York],Sh-boom,1979
161,1963,Lenny Welch,Since I Fell For You,1979
162,1968,Classics IV Featuring Dennis Yost,Stormy,1979
163,1962,The Cascades,Rhythm Of The Rain,1979
164,1960,Jackie Wilson,Night,1979
165,1967,The Association,Never My Love,1979
166,1964,Roy Orbison And The Candy Men,Pretty Woman,1979
167,1966,Paul Revere And The Raiders Featuring Mark Lindsay,Kicks,1979
168,1973,Dawn Featuring Tony Orlando,Tie A Yellow Ribbon Round The Ole Oak Tree,1979
169,1959,Dion And The Belmonts,Where Or When,1979
170,1961,Del Shannon,Runaway,1979
171,1978,The O'Jays,Use Ta Be My Girl,1979
172,1969,The Brooklyn Bridge,Blessed Is The Rain,1979
173,1977,Leo Sayer,When I Need You,1979
174,1969,"Blood, Sweat And Tears",You've Made Me So Very Happy,1979
175,1955,Moonglows,Most Of All,1979
176,1958,"Elvis PresleyKing Creole, Vol. IA",King CreoleA,1979
177,1969,Neil Diamond,Sweet Caroline (Good Times Never Seemed So Good),1979
178,1963,Beach Boys,Surfin' U.S.A.,1979
179,1961,Shep And The Limelites,Daddy's Home,1979
180,1976,ABBA,Dancing Queen,1979
181,1974,John Denver,Annie's Song,1979
182,1967,Stone Poneys Featuring Linda Ronstadt,Different Drum,1979
183,1962,The 4 Seasons,Big Girls Don't Cry,1979
184,1975,Janis Ian,At Seventeen,1979
185,1959,Neil Sedaka,Oh! Carol,1979
186,1961,The Echoes [New York],Baby Blue,1979
187,1959,Lloyd Price,Personality,1979
188,1972,Helen Reddy,I Am Woman,1979
189,1956,Elvis Presley,"I Want You, I Need You, I Love You",1979
190,1962,Ronnie And The Hi-Lites,I Wish That We Were Married,1979
191,1964,Jay And The Americans,Let's Lock The Door (And Throw Away The Key),1979
192,1958,The Students,I'm So Young,1979
193,1957,The Crickets,That'll Be The Day,1979
194,1971,John Lennon / Plastic Ono Band,Imagine,1979
195,1971,The Temptations,Just My Imagination (Running Away With Me),1979
196,1966,The Mamas And The Papas,Words Of Love,1979
197,1957,Elvis Presley With The Jordanaires,Loving You,1979
198,1964,The Beatles,And I Love Her,1979
199,1976,Barry Manilow,This One's For You,1979
200,1979,Cher,Take Me Home,1979
151,1966,The Beach Boys,God Only Knows,1979
152,1966,The 4 Seasons,Beggars' Parade,1979
153,1963,Dion (Di Muci),You're Mine,1979
154,1960,Jimmy Charles And The Revelletts,Hop Scotch Hop,1979
155,1973,Elton John,Skyline Pigeon,1979
156,1964,The Beatles,This Boy,1979
157,1971,Don McLean,American Pie - Part II,1979
158,1972,Elvis Presley,It's A Matter Of Time,1979
159,1955,The Turbans,Let Me Show You (Around My Heart),1979
160,1954,The Chords [New York],Little Maiden,1979
161,1963,Lenny Welch,Are You Sincere,1979
162,1968,Classics IV Featuring Dennis Yost,24 Hours Of Loneliness,1979
163,1962,The Cascades,Let Me Be,1979
164,1960,Jackie Wilson,Doggin' Around,1979
165,1967,The Association,Requiem For The Masses,1979
166,1964,Roy Orbison And The Candy Men,Yo Te Amo Maria,1979
167,1966,Paul Revere And The Raiders Featuring Mark Lindsay,Shake It Up,1979
168,1973,Dawn Featuring Tony Orlando,I Can't Believe How Much I Love You,1979
169,1959,Dion And The Belmonts,That's My Desire,1979
170,1961,Del Shannon,Jody,1979
171,1978,The O'Jays,This Time Baby,1979
172,1969,The Brooklyn Bridge,Welcome Me Love,1979
173,1977,Leo Sayer,I Think We Fell In Love Too Fast,1979
174,1969,"Blood, Sweat And Tears",Blues - Part II,1979
175,1955,Moonglows,She's Gone,1979
176,1958,"Elvis PresleyKing Creole, Vol. IA",New OrleansB1,1979
177,1969,Neil Diamond,Dig In,1979
178,1963,Beach Boys,Shut Down,1979
179,1961,Shep And The Limelites,This I Know,1979
180,1976,ABBA,That's Me,1979
181,1974,John Denver,Cool An' Green An' Shady,1979
182,1967,Stone Poneys Featuring Linda Ronstadt,I've Got To Know,1979
183,1962,The 4 Seasons,Connie-O,1979
184,1975,Janis Ian,Stars,1979
185,1959,Neil Sedaka,One Way Ticket (To The Blues),1979
186,1961,The Echoes [New York],Boomerang,1979
187,1959,Lloyd Price,Have You Ever Had The Blues,1979
188,1972,Helen Reddy,More Than You Could Take,1979
189,1956,Elvis Presley,My Baby Left Me,1979
190,1962,Ronnie And The Hi-Lites,Twistin' And Kissin',1979
191,1964,Jay And The Americans,I'll Remember You,1979
192,1958,The Students,Every Day Of The Week,1979
193,1957,The Crickets,I'm Lookin' For Someone To Love,1979
194,1971,John Lennon / Plastic Ono Band,It's So Hard,1979
195,1971,The Temptations,You Make Your Own Heaven And Hell Right Here On Earth,1979
196,1966,The Mamas And The Papas,Dancing In The Street,1979
197,1957,Elvis Presley With The Jordanaires,(Let Me Be Your) Teddy Bear,1979
198,1964,The Beatles,If I Fell,1979
199,1976,Barry Manilow,Riders To The Stars,1979
200,1979,Cher,My Song (Too Far Gone),1979
201,1963,Lesley Gore,It's My Party,1979
202,1971,Carole King,It's Too Late,1979
203,1956,Willows,Church Bells May Ring,1979
204,1968,Tom Jones,Delilah,1979
205,1976,Elvin Bishop,Fooled Around And Fell In Love,1979
206,1970,Neil Diamond,Cracklin' Rosie,1979
207,1971,Carpenters,For All We Know,1979
208,1965,The Miracles,Going To A Go-Go,1979
209,1954,The Cadillacs,Gloria,1979
210,1966,The Beatles,Here There And Everywhere,1979
211,1961,Neil Sedaka,"Happy Birthday, Sweet Sixteen",1979
212,1977,Barry Manilow,Daybreak,1979
213,1963,The Chiffons,He's So Fine,1979
214,1963,Barbara Lewis,Hello Stranger,1979
215,1964,Jay And The Americans,Come A Little Bit Closer,1979
216,1965,Mel Carter,"Hold Me, Thrill Me, Kiss Me",1979
217,1959,The Mystics [New York],Hushabye,1979
218,1976,Elton John And Kiki Dee,Don't Go Breaking My Heart,1979
219,1963,Earls,I Believe,1979
220,1963,Bobby Vinton,Blue On Blue,1979
221,1972,Rick Nelson And The Stone Canyon Band,Garden Party,1979
222,1975,Freddy Fender,Before The Next Teardrop Falls,1979
223,1961,The Marcels,Blue Moon,1979
224,1968,Neil Diamond,Brooklyn Roads,1979
225,1956,Elvis Presley,Blue Suede Shoes,1979
226,1968,The Foundations,Build Me Up Buttercup,1979
227,1957,The Everly Brothers,Bye Bye Love,1979
228,1956,The Heartbeats [Doo Wop],A Thousand Miles Away,1979
229,1959,Bobby Darin,Dream Lover,1979
230,1978,John Travolta And Olivia Newton-John,You're The One That I WantErnie Watts,1979
231,1974,Joe Cocker,You Are So Beautiful,1979
232,1957,Robert And Johnny,We Belong Together,1979
233,1974,The Three Degrees,When Will I See You Again,1979
234,1964,The Beatles,A Hard Day's Night,1979
235,1968,The Doors,Touch Me,1979
236,1957,Elvis Presley,All Shook Up,1979
237,1959,The Drifters,There Goes My Baby,1979
238,1969,The Beatles,Something,1979
239,1960,The Crests,Step By Step,1979
240,1966,Frank Sinatra,Strangers In The Night,1979
241,1969,"Crosby, Stills And Nash",Suit,1979
242,1970,Bread,Make It With You,1979
243,1957,The Crickets,"Oh, Boy!",1979
244,1957,The Chantels,Maybe,1979
245,1959,Frankie Avalon,Venus,1979
246,1962,Ruby And The Romantics,Our Day Will Come,1979
247,1963,The Beach Boys,Surfer Girl,1979
248,1957,The Diamonds,Little Darlin',1979
249,1977,Elvis Presley,Way Down,1979
250,1964,The Shangri-Las,Leader Of The Pack,1979
201,1963,Lesley Gore,Danny,1979
202,1971,Carole King,I Feel The Earth Move,1979
203,1956,Willows,Baby Tell Me,1979
204,1968,Tom Jones,Smile Away Your Blues,1979
205,1976,Elvin Bishop,Have A Good Time,1979
206,1970,Neil Diamond,Lordy,1979
207,1971,Carpenters,Don't Be Afraid,1979
208,1965,The Miracles,Choosey Beggar,1979
209,1954,The Cadillacs,I Wonder Why,1979
210,1966,The Beatles,Good Day Sunshine,1979
211,1961,Neil Sedaka,Don't Lead Me On,1979
212,1977,Barry Manilow,Jump Shout Boogie,1979
213,1963,The Chiffons,Oh My Lover,1979
214,1963,Barbara Lewis,Think A Little Sugar,1979
215,1964,Jay And The Americans,Goodbye Boys Goodbye (Ciao Ragazzi Ciao),1979
216,1965,Mel Carter,A Sweet Little Girl,1979
217,1959,The Mystics [New York],Adam And Eve,1979
218,1976,Elton John And Kiki Dee,Snow Queen,1979
219,1963,Earls,Don't Forget,1979
220,1963,Bobby Vinton,Those Little Things,1979
221,1972,Rick Nelson And The Stone Canyon Band,So Long Mama,1979
222,1975,Freddy Fender,Waiting For Your Love,1979
223,1961,The Marcels,Goodbye To Love,1979
224,1968,Neil Diamond,Holiday Inn Blues,1979
225,1956,Elvis Presley,Tutti Frutti,1979
226,1968,The Foundations,New Direction,1979
227,1957,The Everly Brothers,I Wonder If I Care As Much,1979
228,1956,The Heartbeats [Doo Wop],Oh Baby Don't,1979
229,1959,Bobby Darin,Bullmoose,1979
230,1978,John Travolta And Olivia Newton-John,Alone At A Drive-In Movie (Instrumental),1979
231,1974,Joe Cocker,It's A Sin When You Love Somebody,1979
232,1957,Robert And Johnny,Walking In The Rain,1979
233,1974,The Three Degrees,Year Of Decision,1979
234,1964,The Beatles,I Should Have Known Better,1979
235,1968,The Doors,Wild Child,1979
236,1957,Elvis Presley,That's When Your Heartaches Begin,1979
237,1959,The Drifters,Oh My Love,1979
238,1969,The Beatles,Come Together,1979
239,1960,The Crests,Gee (But I'd Give The World),1979
240,1966,Frank Sinatra,"Oh, You Crazy Moon",1979
241,1969,"Crosby, Stills And Nash",Judy Blue EyesB,1979
242,1970,Bread,Why Do You Keep Me Waiting,1979
243,1957,The Crickets,Not Fade Away,1979
244,1957,The Chantels,Come My Little Baby,1979
245,1959,Frankie Avalon,I'm Broke,1979
246,1962,Ruby And The Romantics,Moonlight And Music,1979
247,1963,The Beach Boys,Little Deuce Coupe,1979
248,1957,The Diamonds,Faithful And True,1979
249,1977,Elvis Presley,Pledging My Love,1979
250,1964,The Shangri-Las,What Is Love,1979
251,1974,Neil Sedaka,Laughter In The Rain,1979
252,1968,The Delfonics,La-La-Means I Love You,1979
253,1978,Billy Joel,My Life,1979
254,1965,The Toys,A Lover's Concerto,1979
255,1965,The Beach Boys,California Girls,1979
256,1957,Paul Anka,You Are My Destiny,1979
257,1970,The Beatles,Let It Be,1979
258,1979,Bee Gees,Love You Inside Out,1979
259,1964,The Temptations,My Girl,1979
260,1967,The Beatles,Strawberry Fields Forever,1979
261,1974,Paul Anka,(You're) Having My Baby,1979
262,1973,Jim Croce,Time In A Bottle,1979
263,1958,Jackie Wilson,Lonely Teardrops,1979
264,1968,Elvis Presley,If I Can Dream,1979
265,1962,Ray Charles,I Can't Stop Loving You,1979
266,1964,The Beach Boys,I Get Around,1979
267,1960,Brenda Lee,I'm Sorry,1979
268,1960,Dion,Lonely Teenager,1979
269,1975,Morris Albert,Feelings,1979
270,1973,Billy Joel,Piano Man,1979
271,1968,Richard Harris,Mac Arthur Park,1979
272,1958,Big Bopper,Chantilly Lace,1979
273,1958,Buddy Holly,Rave On,1979
274,1957,The Dell-Vikings,Come Go With Me,1979
275,1958,The Everly Brothers,All I Have To Do Is Dream,1979
276,1963,Four Seasons,Candy Girl,1979
277,1978,Melissa Manchester,Don't Cry Out Loud,1979
278,1970,Freda Payne,Band Of Gold,1979
279,1969,Jay And The Americans,Walkin' In The Rain,1979
280,1970,Carpenters,We've Only Just Begun,1979
281,1958,Dion And The Belmonts,I Wonder Why,1979
282,1978,Olivia Newton-John,Hopelessly Devoted To You[no artist listed],1979
283,1964,"The 4 Seasons Featuring The ""Sound"" Of Frankie Valli",Rag Doll,1979
284,1954,"Elvis Presley, Scotty And Bill",That's All Right,1979
285,1968,Tommy James And The Shondells,Crimson And Clover,1979
286,1969,Chicago,Beginnings,1979
287,1967,Four Tops,Bernadette,1979
288,1964,Petula Clark,Downtown,1979
289,1968,Otis Redding,(Sittin' On) The Dock Of The Bay,1979
290,1965,The Righteous Brothers,Hung On You,1979
291,1968,Marvin Gaye,I Heard It Through The Grapevine,1979
292,1959,The Shirelles,Dedicated To The One I Love,1979
293,1971,Derek And The Dominos,Layla,1979
294,1964,The Beatles,And I Love Her,1979
