,Artist,Rank,Song1,Year
291,The Classics [Brooklyn],142,Enie Minie Mo,1963
292,Ray Price,143,Grazin' In Greener Pastures,1970
293,Lou Christie,144,Cryin' In The Streets,1965
294,Barry Manilow,145,Something's Comin' Up,1974
295,The Moody Blues,146,Cities,1972
296,The Everly Brothers,147,Always It's You,1960
297,Barbra And Neil,148,You Don't Bring Me Flowers (Instrumental),1978
298,Joanie Sommers,149,Theme From A Summer Place,1962
299,The Bee Gees,150,Sinking Ships,1968
300,The Beach Boys,151,Wouldn't It Be Nice,1966
301,The 4 Seasons,152,Opus 17 (Don't You Worry 'Bout Me),1966
302,Dion (Di Muci),153,Donna The Prima Donna,1963
303,Jimmy Charles And The Revelletts,154,A Million To One,1960
304,Elton John,155,Daniel,1973
305,The Beatles,156,All My Loving,1964
306,Don McLean,157,American Pie - Part I,1971
307,Elvis Presley,158,Burning Love,1972
308,The Turbans,159,When You Dance,1955
309,The Chords [New York],160,Sh-boom,1954
310,Lenny Welch,161,Since I Fell For You,1963
311,Classics IV Featuring Dennis Yost,162,Stormy,1968
312,The Cascades,163,Rhythm Of The Rain,1962
313,Jackie Wilson,164,Night,1960
314,The Association,165,Never My Love,1967
315,Roy Orbison And The Candy Men,166,Pretty Woman,1964
316,Paul Revere And The Raiders Featuring Mark Lindsay,167,Kicks,1966
317,Dawn Featuring Tony Orlando,168,Tie A Yellow Ribbon Round The Ole Oak Tree,1973
318,Dion And The Belmonts,169,Where Or When,1959
319,Del Shannon,170,Runaway,1961
320,The O'Jays,171,Use Ta Be My Girl,1978
321,The Brooklyn Bridge,172,Blessed Is The Rain,1969
322,Leo Sayer,173,When I Need You,1977
323,"Blood, Sweat And Tears",174,You've Made Me So Very Happy,1969
324,Moonglows,175,Most Of All,1955
325,"Elvis PresleyKing Creole, Vol. IA",176,King CreoleA,1958
326,Neil Diamond,177,Sweet Caroline (Good Times Never Seemed So Good),1969
327,Beach Boys,178,Surfin' U.S.A.,1963
328,Shep And The Limelites,179,Daddy's Home,1961
329,ABBA,180,Dancing Queen,1976
330,John Denver,181,Annie's Song,1974
331,Stone Poneys Featuring Linda Ronstadt,182,Different Drum,1967
332,The 4 Seasons,183,Big Girls Don't Cry,1962
333,Janis Ian,184,At Seventeen,1975
334,Neil Sedaka,185,Oh! Carol,1959
335,The Echoes [New York],186,Baby Blue,1961
336,Lloyd Price,187,Personality,1959
337,Helen Reddy,188,I Am Woman,1972
338,Elvis Presley,189,"I Want You, I Need You, I Love You",1956
339,Ronnie And The Hi-Lites,190,I Wish That We Were Married,1962
340,Jay And The Americans,191,Let's Lock The Door (And Throw Away The Key),1964
341,The Students,192,I'm So Young,1958
342,The Crickets,193,That'll Be The Day,1957
343,John Lennon / Plastic Ono Band,194,Imagine,1971
344,The Temptations,195,Just My Imagination (Running Away With Me),1971
345,The Mamas And The Papas,196,Words Of Love,1966
346,Elvis Presley With The Jordanaires,197,Loving You,1957
347,The Beatles,198,And I Love Her,1964
348,Barry Manilow,199,This One's For You,1976
349,Cher,200,Take Me Home,1979
350,The Beach Boys,151,God Only Knows,1966
351,The 4 Seasons,152,Beggars' Parade,1966
352,Dion (Di Muci),153,You're Mine,1963
353,Jimmy Charles And The Revelletts,154,Hop Scotch Hop,1960
354,Elton John,155,Skyline Pigeon,1973
355,The Beatles,156,This Boy,1964
356,Don McLean,157,American Pie - Part II,1971
357,Elvis Presley,158,It's A Matter Of Time,1972
358,The Turbans,159,Let Me Show You (Around My Heart),1955
359,The Chords [New York],160,Little Maiden,1954
360,Lenny Welch,161,Are You Sincere,1963
361,Classics IV Featuring Dennis Yost,162,24 Hours Of Loneliness,1968
362,The Cascades,163,Let Me Be,1962
363,Jackie Wilson,164,Doggin' Around,1960
364,The Association,165,Requiem For The Masses,1967
365,Roy Orbison And The Candy Men,166,Yo Te Amo Maria,1964
366,Paul Revere And The Raiders Featuring Mark Lindsay,167,Shake It Up,1966
367,Dawn Featuring Tony Orlando,168,I Can't Believe How Much I Love You,1973
368,Dion And The Belmonts,169,That's My Desire,1959
369,Del Shannon,170,Jody,1961
370,The O'Jays,171,This Time Baby,1978
371,The Brooklyn Bridge,172,Welcome Me Love,1969
372,Leo Sayer,173,I Think We Fell In Love Too Fast,1977
373,"Blood, Sweat And Tears",174,Blues - Part II,1969
374,Moonglows,175,She's Gone,1955
375,"Elvis PresleyKing Creole, Vol. IA",176,New OrleansB1,1958
376,Neil Diamond,177,Dig In,1969
377,Beach Boys,178,Shut Down,1963
378,Shep And The Limelites,179,This I Know,1961
379,ABBA,180,That's Me,1976
380,John Denver,181,Cool An' Green An' Shady,1974
381,Stone Poneys Featuring Linda Ronstadt,182,I've Got To Know,1967
382,The 4 Seasons,183,Connie-O,1962
383,Janis Ian,184,Stars,1975
384,Neil Sedaka,185,One Way Ticket (To The Blues),1959
385,The Echoes [New York],186,Boomerang,1961
386,Lloyd Price,187,Have You Ever Had The Blues,1959
387,Helen Reddy,188,More Than You Could Take,1972
388,Elvis Presley,189,My Baby Left Me,1956
389,Ronnie And The Hi-Lites,190,Twistin' And Kissin',1962
390,Jay And The Americans,191,I'll Remember You,1964
391,The Students,192,Every Day Of The Week,1958
392,The Crickets,193,I'm Lookin' For Someone To Love,1957
393,John Lennon / Plastic Ono Band,194,It's So Hard,1971
394,The Temptations,195,You Make Your Own Heaven And Hell Right Here On Earth,1971
395,The Mamas And The Papas,196,Dancing In The Street,1966
396,Elvis Presley With The Jordanaires,197,(Let Me Be Your) Teddy Bear,1957
397,The Beatles,198,If I Fell,1964
398,Barry Manilow,199,Riders To The Stars,1976
399,Cher,200,My Song (Too Far Gone),1979
400,Lesley Gore,201,It's My Party,1963
401,Carole King,202,It's Too Late,1971
402,Willows,203,Church Bells May Ring,1956
403,Tom Jones,204,Delilah,1968
404,Elvin Bishop,205,Fooled Around And Fell In Love,1976
405,Neil Diamond,206,Cracklin' Rosie,1970
406,Carpenters,207,For All We Know,1971
407,The Miracles,208,Going To A Go-Go,1965
408,The Cadillacs,209,Gloria,1954
409,The Beatles,210,Here There And Everywhere,1966
410,Neil Sedaka,211,"Happy Birthday, Sweet Sixteen",1961
411,Barry Manilow,212,Daybreak,1977
412,The Chiffons,213,He's So Fine,1963
413,Barbara Lewis,214,Hello Stranger,1963
414,Jay And The Americans,215,Come A Little Bit Closer,1964
415,Mel Carter,216,"Hold Me, Thrill Me, Kiss Me",1965
416,The Mystics [New York],217,Hushabye,1959
417,Elton John And Kiki Dee,218,Don't Go Breaking My Heart,1976
418,Earls,219,I Believe,1963
419,Bobby Vinton,220,Blue On Blue,1963
420,Rick Nelson And The Stone Canyon Band,221,Garden Party,1972
421,Freddy Fender,222,Before The Next Teardrop Falls,1975
422,The Marcels,223,Blue Moon,1961
423,Neil Diamond,224,Brooklyn Roads,1968
424,Elvis Presley,225,Blue Suede Shoes,1956
425,The Foundations,226,Build Me Up Buttercup,1968
426,The Everly Brothers,227,Bye Bye Love,1957
427,The Heartbeats [Doo Wop],228,A Thousand Miles Away,1956
428,Bobby Darin,229,Dream Lover,1959
429,John Travolta And Olivia Newton-John,230,You're The One That I WantErnie Watts,1978
430,Joe Cocker,231,You Are So Beautiful,1974
431,Robert And Johnny,232,We Belong Together,1957
432,The Three Degrees,233,When Will I See You Again,1974
433,The Beatles,234,A Hard Day's Night,1964
434,The Doors,235,Touch Me,1968
435,Elvis Presley,236,All Shook Up,1957
436,The Drifters,237,There Goes My Baby,1959
437,The Beatles,238,Something,1969
438,The Crests,239,Step By Step,1960
439,Frank Sinatra,240,Strangers In The Night,1966
440,"Crosby, Stills And Nash",241,Suit,1969
441,Bread,242,Make It With You,1970
442,The Crickets,243,"Oh, Boy!",1957
443,The Chantels,244,Maybe,1957
444,Frankie Avalon,245,Venus,1959
445,Ruby And The Romantics,246,Our Day Will Come,1962
446,The Beach Boys,247,Surfer Girl,1963
447,The Diamonds,248,Little Darlin',1957
448,Elvis Presley,249,Way Down,1977
449,The Shangri-Las,250,Leader Of The Pack,1964
450,Lesley Gore,201,Danny,1963
451,Carole King,202,I Feel The Earth Move,1971
452,Willows,203,Baby Tell Me,1956
453,Tom Jones,204,Smile Away Your Blues,1968
454,Elvin Bishop,205,Have A Good Time,1976
455,Neil Diamond,206,Lordy,1970
456,Carpenters,207,Don't Be Afraid,1971
457,The Miracles,208,Choosey Beggar,1965
458,The Cadillacs,209,I Wonder Why,1954
459,The Beatles,210,Good Day Sunshine,1966
460,Neil Sedaka,211,Don't Lead Me On,1961
461,Barry Manilow,212,Jump Shout Boogie,1977
462,The Chiffons,213,Oh My Lover,1963
463,Barbara Lewis,214,Think A Little Sugar,1963
464,Jay And The Americans,215,Goodbye Boys Goodbye (Ciao Ragazzi Ciao),1964
465,Mel Carter,216,A Sweet Little Girl,1965
466,The Mystics [New York],217,Adam And Eve,1959
467,Elton John And Kiki Dee,218,Snow Queen,1976
468,Earls,219,Don't Forget,1963
469,Bobby Vinton,220,Those Little Things,1963
470,Rick Nelson And The Stone Canyon Band,221,So Long Mama,1972
471,Freddy Fender,222,Waiting For Your Love,1975
472,The Marcels,223,Goodbye To Love,1961
473,Neil Diamond,224,Holiday Inn Blues,1968
474,Elvis Presley,225,Tutti Frutti,1956
475,The Foundations,226,New Direction,1968
476,The Everly Brothers,227,I Wonder If I Care As Much,1957
477,The Heartbeats [Doo Wop],228,Oh Baby Don't,1956
478,Bobby Darin,229,Bullmoose,1959
479,John Travolta And Olivia Newton-John,230,Alone At A Drive-In Movie (Instrumental),1978
480,Joe Cocker,231,It's A Sin When You Love Somebody,1974
481,Robert And Johnny,232,Walking In The Rain,1957
482,The Three Degrees,233,Year Of Decision,1974
483,The Beatles,234,I Should Have Known Better,1964
484,The Doors,235,Wild Child,1968
485,Elvis Presley,236,That's When Your Heartaches Begin,1957
486,The Drifters,237,Oh My Love,1959
487,The Beatles,238,Come Together,1969
488,The Crests,239,Gee (But I'd Give The World),1960
489,Frank Sinatra,240,"Oh, You Crazy Moon",1966
490,"Crosby, Stills And Nash",241,Judy Blue EyesB,1969
491,Bread,242,Why Do You Keep Me Waiting,1970
492,The Crickets,243,Not Fade Away,1957
493,The Chantels,244,Come My Little Baby,1957
494,Frankie Avalon,245,I'm Broke,1959
495,Ruby And The Romantics,246,Moonlight And Music,1962
496,The Beach Boys,247,Little Deuce Coupe,1963
497,The Diamonds,248,Faithful And True,1957
498,Elvis Presley,249,Pledging My Love,1977
499,The Shangri-Las,250,What Is Love,1964
500,Neil Sedaka,251,Laughter In The Rain,1974
501,The Delfonics,252,La-La-Means I Love You,1968
502,Billy Joel,253,My Life,1978
503,The Toys,254,A Lover's Concerto,1965
504,The Beach Boys,255,California Girls,1965
505,Paul Anka,256,You Are My Destiny,1957
506,The Beatles,257,Let It Be,1970
507,Bee Gees,258,Love You Inside Out,1979
508,The Temptations,259,My Girl,1964
509,The Beatles,260,Strawberry Fields Forever,1967
510,Paul Anka,261,(You're) Having My Baby,1974
511,Jim Croce,262,Time In A Bottle,1973
512,Jackie Wilson,263,Lonely Teardrops,1958
513,Elvis Presley,264,If I Can Dream,1968
514,Ray Charles,265,I Can't Stop Loving You,1962
515,The Beach Boys,266,I Get Around,1964
516,Brenda Lee,267,I'm Sorry,1960
517,Dion,268,Lonely Teenager,1960
518,Morris Albert,269,Feelings,1975
519,Billy Joel,270,Piano Man,1973
520,Richard Harris,271,Mac Arthur Park,1968
521,Big Bopper,272,Chantilly Lace,1958
522,Buddy Holly,273,Rave On,1958
523,The Dell-Vikings,274,Come Go With Me,1957
524,The Everly Brothers,275,All I Have To Do Is Dream,1958
525,Four Seasons,276,Candy Girl,1963
526,Melissa Manchester,277,Don't Cry Out Loud,1978
527,Freda Payne,278,Band Of Gold,1970
528,Jay And The Americans,279,Walkin' In The Rain,1969
529,Carpenters,280,We've Only Just Begun,1970
530,Dion And The Belmonts,281,I Wonder Why,1958
531,Olivia Newton-John,282,Hopelessly Devoted To You[no artist listed],1978
532,"The 4 Seasons Featuring The ""Sound"" Of Frankie Valli",283,Rag Doll,1964
533,"Elvis Presley, Scotty And Bill",284,That's All Right,1954
534,Tommy James And The Shondells,285,Crimson And Clover,1968
535,Chicago,286,Beginnings,1969
536,Four Tops,287,Bernadette,1967
537,Petula Clark,288,Downtown,1964
538,Otis Redding,289,(Sittin' On) The Dock Of The Bay,1968
539,The Righteous Brothers,290,Hung On You,1965
540,Marvin Gaye,291,I Heard It Through The Grapevine,1968
541,The Shirelles,292,Dedicated To The One I Love,1959
542,Derek And The Dominos,293,Layla,1971
543,The Beatles,294,And I Love Her,1964
544,Barry Manilow,295,It's A Miracle,1975
545,Gilbert O'Sullivan,296,Alone Again (Naturally),1972
546,The Dave Clark Five,297,Glad All Over,1963
547,Simon And Garfunkel,298,The Sounds Of Silence,1965
548,Neil Sedaka,299,Breaking Up Is Hard To Do,1962
549,The Ronettes,300,Walking In The Rain,1964
550,Neil Sedaka,251,Endlessly,1974
551,The Delfonics,252,Can't Get Over Losing You,1968
552,Billy Joel,253,52nd Street,1978
553,The Toys,254,This Night,1965
554,The Beach Boys,255,Let Him Run Wild,1965
555,Paul Anka,256,When I Stop Loving You (That'll Be The Day),1957
556,The Beatles,257,You Know My Name (Look Up My Number),1970
557,Bee Gees,258,I'm Satisfied,1979
558,The Temptations,259,(Talking 'Bout) Nobody But My Baby,1964
559,The Beatles,260,Penny Lane,1967
560,Paul Anka,261,Papa,1974
561,Jim Croce,262,Hard Time Losin' Man,1973
562,Jackie Wilson,263,In The Blue Of Evening,1958
563,Elvis Presley,264,Edge Of Reality,1968
564,Ray Charles,265,Born To Lose,1962
565,The Beach Boys,266,Don't Worry Baby,1964
